employee_id,department,performance_rating,years_experience,tenure_years,education_level,remote_days_per_week,office_zip,regional_unemployment,cost_of_living_idx,base_salary,bonus_pay,hourly_contractor_rate,hire_date
100548,Engineering,Low,7,3,Bachelors,0,21492,3.59,108.3,67705.29,57.24,USD 64.64,2023-04-06
100549,SALES,High,2,2,Bachelors,1,57161,3.17,87.6,,5519.68,USD 72.77,2022-12-14
100550,Engineering,High,5,5,Bachelors,0,17657,5.25,134.5,96781.73,10644.56,57.42,2020-02-19
100551,FINANCE,Low,6,3,Bachelors,5,36410,2.85,90.9,59714.2,1297.04,59.31,2025-10-31
100552,Engineering,High,0,0,Bachelors,4,57690,4.24,143.1,90134.02,5446.82,,2024-03-25
100553,Finance,Medium,11,3,Masters,2,87269,3.92,106.1,76304.37,3404.71,usd 65.80,2016-02-23
100554,Engineering,Low,6,3,Bachelors,1,48661,3.85,107.9,85674.01,0.0,usd 45.53,2020-10-29
100555,ENG,Medium,7,2,Bachelors,3,14907,3.92,90.1,64981.67,3639.01,46.46,2018-05-14
100556,Finance,High,6,0,Masters,4,72797,3.91,101.3,67065.61,5270.1,37.70,2017-03-14
100557,Engineering,Medium,4,0,PhD,1,69952,4.16,115.3,94475.49,4046.99,59.74,2016-07-09
100558,Engineering,High,8,4,PhD,2,83718,4.41,118.7,87442.52,6202.85,53.47,2015-08-15
100559,Finance,Medium,5,4,PhD,3,41790,4.26,78.3,63884.37,3208.35,$56.18,2018-04-10
100560,Engineering,High,9,0,PhD,3,62276,4.09,93.1,85925.71,7370.51,USD 75.62,2019-02-18
100561,Fin.,High,9,0,Masters,5,96510,4.61,102.0,88812.86,8537.47,USD 63.26,2018-04-08
100562,Engineering,High,0,0,Masters,4,74118,4.59,94.8,61341.26,3135.1,usd 36.50,2017-10-15
100563,sales,Medium,5,5,Bachelors,0,59225,4.68,77.8,49888.7,1447.77,usd 31.40,2014-12-29
100564,Finance,Low,6,4,Masters,0,92443,3.59,133.2,68870.8,2527.79,$34.77,2015-03-12
100565,Engineering,High,2,0,Bachelors,1,22559,4.99,108.6,57004.89,5229.31,,2020-03-01
100566,sales,Medium,5,4,Bachelors,3,51737,2.52,82.1,54921.64,3706.64,USD 49.85,2020-11-26
100567,Engineering,,8,4,Masters,2,22127,3.98,64.0,68800.3,,$34.65,2019-08-28
100568,Sales,High,4,1,Bachelors,2,38008,4.94,90.2,53359.96,3742.73,34.13,2025-05-18
100569,Finance,Medium,9,1,Bachelors,5,60765,4.0,96.7,68856.24,2850.25,USD 59.58,2012-02-15
100570,Finance,Medium,10,5,Masters,2,81131,4.7,91.7,67579.78,3742.41,,2016-05-13
100571,Sales,Low,1,1,Bachelors,5,75890,3.71,96.6,,1077.72,30.60,2017-01-25
100572,Sales,High,3,3,Masters,4,84697,3.3,143.4,76754.57,6310.55,USD 56.18,2012-06-05
100573,Fin.,Medium,15,5,Bachelors,4,32094,3.85,95.8,86434.0,7023.95,43.71,2023-08-21
100574,Sales ,Low,9,0,Masters,1,19352,4.47,147.9,86923.72,1129.43,$63.12,2021-06-21
100575,Engineering,High,10,9,Bachelors,2,52560,5.19,129.1,100430.48,10067.87,USD 33.88,2016-09-07
100576,Sales,Low,10,6,Masters,2,57127,3.85,128.7,76645.36,1604.42,$63.93,2017-01-23
100577,Sales,Low,0,0,Bachelors,0,79575,5.01,93.7,46738.07,1221.03,USD 41.10,2020-01-22
100578,engineering,Medium,7,1,Bachelors,4,45193,3.96,107.1,69523.66,2376.57,$45.23,2025-01-10
100579,Finance,High,5,0,Bachelors,2,50466,3.24,101.0,83904.75,6951.01,usd 64.99,2017-09-04
100580,Finance,Medium,11,4,PhD,1,50466,3.24,101.0,82127.51,6073.56,usd 40.63,2015-04-22
100581,Engineering,High,13,7,Bachelors,0,17699,4.76,124.1,106118.55,9768.22,usd 32.83,2019-06-24
100582,Finance,Medium,7,3,Masters,1,78561,3.51,108.8,82475.56,4253.09,63.83,2025-08-14
100583,Engineering ,,3,0,PhD,1,44823,2.54,89.8,80421.44,,usd 84.62,2012-03-02
100584,engineering,Low,3,3,Bachelors,1,51825,4.22,82.7,52424.31,1055.11,$27.27,2014-04-25
100585,Engineering,Medium,7,7,Bachelors,2,91770,4.12,148.4,88638.62,2504.77,USD 75.01,2024-11-23
100586,Sales,Medium,0,0,PhD,4,99023,3.99,121.7,67330.85,2991.82,$69.98,2019-08-27
100587,Engineering,High,8,0,Masters,3,16968,4.21,81.9,70786.73,5783.38,USD 43.36,2013-02-11
100588,Finance,Medium,11,1,Bachelors,3,82999,4.98,100.0,80118.99,3933.58,57.59,2012-07-11
100589,Engineering,High,6,6,Bachelors,0,80189,4.05,96.1,76716.02,6178.38,,2021-10-30
100590,Finance,,7,7,Masters,2,48585,4.67,129.2,81480.53,,,2023-06-18
100591,Finance,,0,0,Bachelors,4,83433,3.34,101.5,40243.69,,$47.37,2021-05-12
100592,Engineering,Medium,11,2,Bachelors,2,63251,4.43,114.2,,3555.59,USD 54.13,2022-09-30
100593,Sales ,Medium,5,0,Bachelors,1,83398,4.02,149.5,79617.86,3429.28,USD 62.42,2024-08-12
100594,Engineering,Low,3,3,Bachelors,3,16363,4.09,135.1,73773.89,1270.57,USD 50.51,2021-05-18
100595,Engineering,High,9,4,Bachelors,4,26597,4.17,99.7,83885.14,7182.64,,2020-06-25
100596,Finance,,4,3,Bachelors,4,45094,4.66,135.6,70260.75,,46.96,2015-10-22
100597,Finance,Low,6,1,Masters,0,12225,4.46,134.0,80575.02,0.0,,2012-06-26
100598,Engineering,Low,4,4,Bachelors,2,33191,5.04,121.6,63964.92,0.0,42.82,2021-01-27
100599,Engineering,Low,7,4,Bachelors,3,53796,3.65,124.1,76831.68,998.28,usd 28.95,2022-11-12
100600,Finance,Medium,8,8,Masters,3,25407,4.24,118.7,78008.18,2666.92,,2024-06-30
100601,Sales,Low,17,4,PhD,1,95513,4.2,95.1,,1867.47,USD 36.55,2023-11-18
100602,Sales,Medium,14,5,Masters,4,77889,3.63,116.6,75343.49,3384.42,usd 48.66,2018-09-04
100603,Engineering ,Medium,7,7,Masters,1,90662,3.56,92.1,73930.91,4364.12,USD 39.04,2022-07-10
100604,Sales,Medium,9,6,Masters,5,48439,4.09,79.8,55886.96,2851.33,$71.48,2018-02-16
100605,Sales,Medium,1,1,Masters,1,29958,4.25,119.6,60138.59,1623.17,,2021-01-01
100606,Sales,,10,7,Masters,5,14723,5.32,114.9,77312.34,,$43.67,2018-04-13
100607,Engineering,Medium,9,8,Masters,1,68336,3.88,71.7,60822.3,3623.85,USD 40.80,2020-07-06
100608,Finance,Low,4,4,PhD,2,88935,3.64,93.9,58751.5,887.34,$47.50,2019-04-29
100609,Sales,,8,0,Bachelors,3,18159,5.12,163.8,96008.48,,usd 71.26,2018-06-20
100610,engineering,High,8,1,Bachelors,0,54410,3.39,57.6,61784.31,3659.49,usd 51.43,2022-10-27
100611,Finance,High,7,1,Bachelors,2,74966,4.64,120.2,75779.5,6565.6,USD 62.90,2021-01-20
100612,Finance,Low,7,4,Bachelors,3,81770,3.66,93.3,63831.56,2127.48,$32.27,2015-02-19
100613,Engineering,Medium,3,3,Bachelors,1,17699,4.76,124.1,75111.26,4251.82,,2012-11-12
100614,Sales,Low,9,4,Masters,4,26141,4.45,126.3,76312.56,1302.86,$49.64,2017-04-07
100615,Sales,Medium,7,1,Masters,2,37813,5.07,86.0,64125.18,3184.67,USD 65.18,2016-06-03
100616,Engineering ,High,9,7,Bachelors,2,32333,3.61,97.3,79620.24,6040.45,usd 54.76,2015-09-22
100617,Engineering,High,8,8,Bachelors,1,15141,4.33,131.8,80658.26,6318.92,$34.33,2016-03-21
100618,Finance,High,0,0,Bachelors,1,30381,4.06,100.5,63317.9,5153.11,USD 49.50,2014-09-10
100619,Engineering,Low,7,3,Bachelors,0,40661,5.36,129.8,82491.06,222.98,,2020-04-06
100620,Engineering,,6,6,Masters,2,72847,4.64,110.3,76200.22,,usd 66.14,2017-09-11
100621,Sales,Medium,9,1,Bachelors,1,26820,4.08,103.3,74611.36,2457.99,$33.69,2012-07-15
100622,Engineering,Medium,12,8,Bachelors,2,98282,3.94,94.7,89441.36,4140.98,,2025-05-11
100623,Sales,Medium,3,2,Bachelors,1,81890,4.85,124.5,61017.39,1616.4,USD 73.77,2019-04-19
100624,Sales,High,13,3,Bachelors,3,90555,4.79,129.7,72984.58,7767.22,33.70,2019-09-18
100625, eng ,High,5,2,Bachelors,5,78216,3.86,92.3,82040.25,6043.04,USD 25.48,2018-07-30
100626,Engineering,Low,15,2,Bachelors,0,52564,3.83,115.5,90855.43,3551.26,USD 42.10,2024-11-06
100627,Sales,Medium,3,3,Masters,2,63251,4.43,114.2,,3488.58,27.89,2020-03-29
100628,Sales,High,7,2,Bachelors,0,43403,4.25,134.4,84503.84,4180.73,47.42,2022-11-25
100629,Engineering,High,2,2,Bachelors,0,22438,4.49,116.8,69861.02,4433.97,52.46,2024-06-29
100630, Sales,,1,0,PhD,0,66240,4.53,136.8,78481.65,,61.11,2016-05-18
100631,Sales,Medium,18,4,Bachelors,3,38121,5.89,128.4,92603.94,3662.34,$68.86,2018-11-06
100632,Engineering,High,10,6,Bachelors,0,82919,3.97,94.5,80383.49,6286.28,USD 56.09,2018-08-11
100633,Engineering,Medium,9,6,Bachelors,4,94435,3.01,96.2,84959.1,4707.95,$42.62,2015-10-13
100634,Sales,Medium,8,2,Masters,2,87721,4.15,121.2,90640.11,3633.91,usd 48.23,2014-02-10
100635, Sales,,1,1,Bachelors,1,72577,4.9,92.5,,,USD 46.52,2014-08-23
100636,Engineering,High,11,8,Masters,4,36952,3.5,103.8,78387.01,6445.75,59.72,2016-11-11
100637,Sales,,9,1,Bachelors,3,15226,4.58,108.1,62791.27,,usd 59.84,2014-03-13
100638,Finance,Low,9,7,Bachelors,3,52160,2.62,101.1,61326.32,2212.44,51.43,2015-05-30
100639,Engineering ,High,6,2,Bachelors,5,10169,4.6,138.2,98448.85,7718.29,$54.99,2019-07-26
100640,Sales ,,14,0,Masters,2,47617,4.92,120.5,86141.48,,USD 40.59,2018-12-20
100641,Finance,High,9,2,Bachelors,0,48871,3.78,109.7,83772.3,6516.07,,2018-05-11
100642,Finance,Medium,11,6,Masters,4,19003,4.04,99.8,,4028.78,usd 48.14,2020-09-28
100643,Finance,Medium,3,3,Masters,0,23370,3.69,114.2,51927.53,3456.11,$30.79,2016-12-10
100644,Engineering,Low,8,8,Masters,0,89909,4.43,131.9,91167.07,4138.5,,2016-05-05
100645,Sales,Low,11,3,Bachelors,3,63698,4.17,130.4,,0.0,,2016-05-16
100646,Sales ,Low,7,3,Bachelors,3,96481,4.48,81.3,51399.35,0.0,$81.07,2018-06-05
100647,Engineering,High,0,0,Masters,1,74095,4.11,115.4,69825.83,5560.24,usd 22.55,2023-05-06
100648,Engineering,,6,6,Masters,1,75168,4.2,153.1,94830.21,,usd 63.71,2020-11-04
100649,Sales,Medium,8,4,Bachelors,5,11967,4.37,79.2,46945.9,3258.52,60.35,2022-11-21
100650,sales,,11,9,PhD,2,32717,4.63,123.0,85480.18,,usd 51.58,2020-07-10
100651,Sales ,Low,12,6,Masters,4,57837,4.78,92.5,,2250.42,USD 37.55,2014-08-11
100652,Engineering,,13,6,PhD,3,39889,3.61,118.0,99665.51,,40.35,2022-04-15
100653,Sales,Low,4,4,Masters,1,31960,5.04,136.4,73063.24,1617.43,usd 46.86,2012-04-07
100654, Sales,Medium,13,7,Masters,3,48154,4.18,105.8,84704.88,3475.13,usd 40.78,2013-12-16
100655,Finance,Medium,7,0,Bachelors,5,43975,4.23,75.1,60839.78,2394.33,USD 56.43,2015-06-27
100656,Sales,,6,5,Masters,0,91472,3.96,112.8,64951.7,,53.50,2023-08-21
100657,Engineering,,0,0,Masters,1,16363,4.09,135.1,77495.94,,usd 51.69,2022-06-21
100658,Finance,,7,2,PhD,2,13241,4.45,119.3,84817.71,,usd 50.10,2016-02-24
100659,Finance,Medium,4,0,Bachelors,4,72226,5.81,117.0,65462.56,2760.11,USD 30.36,2021-08-09
100660,Finance,Low,2,2,Masters,1,58800,4.58,141.3,74122.37,2158.27,,2013-07-23
100661,Sales,Medium,11,1,Bachelors,2,16770,5.18,142.0,84146.7,3437.18,,2022-05-06
100662,Finance,,13,4,Masters,1,36984,3.62,82.5,93391.12,,31.78,2017-03-25
100663,Finance,Medium,8,7,Masters,1,80189,4.05,96.1,63924.42,3133.55,49.18,2013-02-10
100664,Sales,Medium,7,3,Masters,5,88768,4.61,110.6,60852.13,3552.3,,2017-09-02
100665,Sales,Medium,8,0,Bachelors,4,92580,4.29,94.1,,3559.9,USD 56.22,2025-10-01
100666,Engineering,High,1,1,Bachelors,5,55964,3.4,77.8,72364.37,7280.77,usd 45.92,2021-06-21
100667,Finance,Low,6,6,Bachelors,2,55108,4.35,121.2,63025.91,960.63,$55.20,2012-03-17
100668,Sales,High,1,0,PhD,3,83649,3.43,77.5,,5508.65,USD 37.98,2018-05-14
100669,Sales,Low,8,6,Bachelors,1,43223,3.48,99.1,59433.13,1650.84,usd 53.97,2025-05-27
100670,Engineering,High,5,5,Masters,4,73022,4.47,84.0,84322.66,7211.11,,2019-04-24
100671,ENG,Medium,9,9,Masters,2,20196,5.0,96.2,72578.12,4449.37,$37.54,2016-03-22
100672,Engineering,Medium,6,6,Masters,3,56137,4.61,117.1,75831.96,4687.84,$33.84,2018-09-19
100673, finance,Low,7,3,Bachelors,2,43403,4.25,134.4,77928.39,478.04,,2013-09-13
100674,ENG,High,0,0,Masters,4,58191,4.46,99.9,72896.32,3961.3,USD 61.64,2017-06-19
100675,Finance,Medium,6,5,Masters,4,98925,4.53,63.7,55469.66,2500.83,usd 34.59,2021-08-08
100676,Engineering,High,9,2,Masters,0,72226,5.81,117.0,79958.91,6728.49,,2017-06-26
100677,Sales,Medium,13,9,Bachelors,3,84823,3.6,96.2,73184.33,2214.81,USD 46.55,2024-12-09
100678,Finance,High,8,4,Masters,1,45416,4.66,101.6,78353.82,4635.53,44.77,2016-08-22
100679,Finance,Medium,9,7,Masters,4,49144,3.7,79.1,78224.89,4520.08,USD 35.80,2023-06-27
100680,Engineering,High,5,0,Bachelors,4,18047,4.01,140.9,95838.99,7055.45,usd 56.95,2013-10-21
100681,Engineering,High,2,2,PhD,2,97911,4.97,90.2,69263.3,5798.17,45.29,2018-12-31
100682, eng ,High,4,3,Bachelors,2,35563,3.61,112.9,72158.42,5237.62,$52.07,2019-04-10
100683, finance,Medium,4,4,Bachelors,0,88768,4.61,110.6,68220.89,3811.46,,2023-06-01
100684, Sales,Low,9,2,PhD,3,24303,4.01,93.6,,2236.45,USD 44.85,2013-03-03
100685,Sales,Low,10,7,PhD,5,71278,3.47,106.8,77098.74,0.0,USD 55.30,2023-09-28
100686,Engineering,Medium,8,6,Bachelors,1,24371,4.66,82.1,64781.78,3436.62,40.19,2013-06-08
100687,Sales,Medium,6,0,Masters,3,21913,5.03,114.1,,4091.18,,2014-06-28
100688,Finance ,Low,11,2,Bachelors,4,69732,4.71,111.6,86115.81,360.33,$56.35,2024-01-12
100689,Finance,Medium,7,2,Masters,0,75168,4.2,153.1,98607.84,6116.81,43.93,2020-03-13
100690,Finance,Medium,0,0,Bachelors,5,42797,4.41,96.6,65213.86,3232.69,49.82,2013-10-31
100691,Sales,Medium,8,2,Bachelors,3,22996,3.58,78.2,54869.87,2700.19,,2021-05-16
100692,Engineering,High,0,0,Masters,0,77368,3.27,112.8,70330.73,4216.59,,2021-09-17
100693,Sales,Medium,5,5,Bachelors,2,48867,4.32,140.7,70419.47,4004.08,,2021-08-29
100694, eng ,High,5,3,Bachelors,0,19409,3.61,102.1,85412.44,6043.34,43.76,2024-01-08
100695,Finance ,High,9,4,Bachelors,1,46738,4.99,124.3,90395.93,7306.77,$58.43,2018-11-28
100696,Engineering,Medium,7,0,Bachelors,3,10176,4.69,99.9,81042.67,3819.44,$53.67,2023-10-10
100697,Engineering,Medium,6,6,Bachelors,1,33428,4.92,118.4,81391.73,4888.29,$51.50,2024-12-18
100698,Sales,Low,6,2,Bachelors,2,32293,5.66,133.7,53002.92,514.05,45.90,2020-11-01
100699,Fin.,Medium,8,6,Bachelors,4,34592,3.64,97.1,71470.56,3153.93,,2014-02-15
100700,Finance,Medium,0,0,Masters,5,74186,2.93,97.1,65885.29,4000.12,,2015-08-20
100701, finance,Medium,11,10,Bachelors,2,64389,4.17,110.0,79823.22,4063.98,64.13,2012-07-01
100702,Finance ,High,3,3,PhD,3,77343,4.02,117.7,87074.89,7872.18,,2013-04-12
100703,Sales,Medium,11,4,Masters,2,18040,3.58,67.3,,2543.46,64.28,2014-03-14
100704,Engineering,,9,1,PhD,1,55075,5.8,155.9,99931.04,,47.83,2016-11-26
100705,Finance,Medium,9,3,Masters,2,43975,4.23,75.1,51445.8,3862.68,$52.16,2014-11-30
100706,Finance,High,14,4,Bachelors,5,49144,3.7,79.1,73379.43,6535.96,77.78,2019-02-16
100707,Engineering,Medium,7,7,PhD,2,29330,4.04,88.0,93375.57,3378.77,37.11,2022-06-01
100708,FINANCE,High,6,1,Masters,3,96481,4.48,81.3,,6334.88,usd 60.86,2024-10-21
100709,Sales,High,10,0,Bachelors,5,64001,4.29,94.0,72947.72,6495.18,usd 25.67,2020-11-14
100710,ENG,,9,4,Bachelors,3,48661,3.85,107.9,85266.17,,usd 65.40,2015-12-22
100711,Sales,Low,4,4,Masters,2,20443,5.76,131.2,47165.2,873.48,USD 63.86,2023-12-30
100712,Engineering,,4,1,Bachelors,1,89491,4.5,90.9,69043.66,,67.50,2012-08-31
100713,Finance,Medium,3,2,Bachelors,3,11888,4.68,121.0,78588.8,6501.13,USD 70.39,2024-01-22
100714,Sales,Medium,10,4,Bachelors,5,57055,4.17,70.5,56926.3,2918.06,USD 64.01,2016-11-10
100715,Sales,Low,4,4,Masters,0,64528,4.4,129.4,70605.04,1538.48,usd 27.55,2021-05-18
100716,Engineering,Medium,13,5,Masters,5,70192,4.26,88.7,83032.03,2504.7,$44.97,2023-10-29
100717,Sales,Medium,6,1,PhD,2,61329,5.1,105.1,71821.42,3806.73,60.63,2016-02-26
100718,Sales ,,5,5,PhD,3,60052,4.72,84.8,53168.87,,$15.21,2013-09-04
100719,Sales,Medium,5,5,Masters,3,61099,4.14,145.0,86566.73,4292.26,USD 61.64,2022-01-16
100720,Fin.,,11,8,Masters,0,30935,5.46,92.7,74047.04,,,2017-10-06
100721,Finance,High,3,3,Masters,1,47881,3.81,89.7,69190.91,5199.66,USD 53.30,2025-01-23
100722,Engineering,High,13,0,Bachelors,5,53836,2.98,118.6,93596.84,11205.02,,2013-02-21
100723,FINANCE,High,8,8,Masters,2,68336,3.88,71.7,62066.82,5479.09,,2021-05-19
100724,Sales,Medium,6,5,PhD,4,38899,3.74,98.2,82864.51,6346.25,,2022-04-02
100725,Sales,Medium,3,3,Bachelors,5,96582,3.08,74.2,43241.24,2535.33,USD 49.38,2014-01-04
100726,Engineering,High,1,1,Masters,0,35187,3.85,107.5,73772.94,6902.23,USD 59.03,2012-01-26
100727,Finance,,8,0,Bachelors,0,20219,5.11,141.2,88289.87,,,2025-06-11
100728,Sales,Low,7,1,Bachelors,5,14907,3.92,90.1,51348.66,1691.62,$20.24,2018-04-25
100729,Sales ,High,16,1,Masters,4,46397,3.67,104.5,96985.69,5936.58,usd 34.66,2022-11-25
100730,Engineering,Low,1,1,Bachelors,4,20219,5.11,141.2,83290.57,1859.98,usd 56.15,2012-09-03
100731,Finance,Low,13,0,Bachelors,1,93791,3.66,93.6,,1046.24,,2017-06-03
100732,Sales,,0,0,Bachelors,1,23440,3.66,80.4,49541.28,,$26.36,2015-04-25
100733,Finance,Medium,5,4,Masters,1,40987,5.11,128.2,,5923.73,usd 45.29,2017-02-18
100734,Sales,,8,5,Masters,3,93647,4.57,88.1,62155.12,,39.52,2025-08-30
100735,Engineering,Medium,8,7,Bachelors,1,99578,3.22,74.6,54113.02,3158.8,$47.21,2013-08-03
100736,Sales,High,3,1,Masters,1,16675,4.01,79.8,68481.63,5830.81,,2025-09-19
100737,Sales,Medium,7,3,PhD,1,82165,4.12,125.1,76499.16,4810.97,$40.77,2016-07-21
100738,Sales,,11,4,Bachelors,1,20688,4.82,95.8,69501.49,,32.97,2014-11-08
100739,Engineering,Medium,5,0,Bachelors,1,64121,4.48,120.6,73835.34,3581.83,83.76,2014-12-04
100740,engineering,Medium,8,2,Bachelors,4,18242,4.45,135.1,84497.47,3635.39,usd 36.24,2023-04-08
100741,Engineering,High,11,7,Bachelors,1,44823,2.54,89.8,83031.52,7372.46,USD 45.85,2021-11-07
100742,Finance,Medium,13,4,Masters,0,46046,4.82,100.9,89637.72,4258.92,,2013-01-14
100743,Sales,Low,8,5,Bachelors,3,84495,3.92,79.7,53142.39,1185.23,$47.28,2017-11-21
100744,Engineering,Low,6,0,Bachelors,3,90968,3.94,91.3,65844.04,1487.52,$36.21,2013-05-12
100745, eng ,High,6,2,Bachelors,0,28719,4.81,130.2,87960.44,7222.9,46.57,2021-09-23
100746,Finance,Low,10,4,Bachelors,2,21981,3.98,91.9,67697.57,1456.69,,2013-06-15
100747,Sales,Medium,6,2,Bachelors,3,67671,4.32,85.5,51660.41,2450.73,$29.67,2021-02-27
100748,Sales,Low,15,6,Bachelors,1,82769,3.85,94.7,62555.03,2977.0,,2018-09-21
100749,Sales,Medium,7,0,Masters,3,95599,4.47,134.7,59380.39,3444.84,USD 35.04,2023-06-21
100750,Engineering,High,14,4,Bachelors,4,48867,4.32,140.7,103847.64,7773.07,50.81,2014-01-20
100751,Finance ,Medium,3,1,Bachelors,2,32828,3.51,125.3,66629.77,3762.8,USD 81.16,2012-03-24
100752,FINANCE,Medium,4,4,Bachelors,1,56151,4.67,83.9,55000.78,2320.73,73.83,2013-10-12
100753,sales,Medium,5,5,Masters,2,95174,4.52,149.4,76805.9,4608.92,64.77,2022-09-17
100754,Engineering ,Medium,8,7,Bachelors,3,45083,5.13,95.6,72438.25,3190.79,,2015-08-07
100755,Sales,,7,0,Bachelors,0,14747,4.86,121.4,63716.31,,usd 36.07,2021-04-27
100756,Engineering,Medium,9,8,Bachelors,1,30607,5.01,139.6,91749.42,4902.29,,2012-08-21
100757,Sales,Low,5,5,PhD,0,60128,3.92,95.2,58981.69,124.51,50.02,2019-05-27
100758,ENG,High,13,7,Bachelors,0,37332,3.62,107.2,,8769.24,usd 54.24,2012-06-16
100759,Finance,Medium,4,3,Bachelors,3,13685,4.02,92.2,61554.25,1867.46,,2019-02-04
100760,Engineering,,13,5,Bachelors,5,87336,3.08,68.0,74675.18,,$56.00,2016-02-27
100761,Finance,Medium,11,0,PhD,2,34292,4.15,126.7,98649.45,3927.19,$34.20,2020-07-18
100762,Engineering,Medium,7,4,Masters,4,75792,4.37,106.0,83880.39,3507.03,15.59,2024-10-12
100763,Finance,High,3,3,Masters,0,93856,3.8,100.2,62117.31,5687.89,usd 21.16,2014-04-26
100764,Engineering,Medium,10,7,Masters,3,31114,4.23,149.9,97810.4,6017.47,47.22,2020-06-12
100765,Finance ,Medium,10,8,Masters,4,57083,4.53,108.2,76981.1,6946.66,62.11,2023-12-13
100766,Engineering,High,3,3,Masters,5,28122,4.19,85.8,71369.27,7145.91,$44.07,2025-05-19
100767,Engineering,Medium,10,1,Bachelors,2,84966,4.16,90.0,69409.19,4482.98,54.23,2016-12-21
100768,Sales,Medium,7,7,Masters,3,20975,4.11,82.8,61207.6,4216.35,usd 67.63,2013-06-10
100769,Engineering ,Low,6,5,Bachelors,2,90555,4.79,129.7,80948.42,0.0,,2021-09-23
100770,Engineering,,4,4,PhD,0,69384,3.91,90.7,79988.41,,USD 76.65,2014-11-24
100771,Sales,Medium,5,5,Bachelors,3,44722,5.01,135.9,,2883.39,46.42,2022-09-15
100772, finance,High,5,4,Masters,4,11198,2.95,90.2,68081.19,4171.25,usd 44.89,2022-10-17
100773,Finance,Medium,7,0,Bachelors,2,29006,3.66,110.6,60202.15,2958.09,usd 24.55,2013-09-24
100774,Engineering,Medium,6,6,Bachelors,2,17567,4.35,143.1,92489.19,5279.61,53.23,2020-12-09
100775,Engineering,High,0,0,Bachelors,4,24371,4.66,82.1,57021.48,4845.34,47.10,2021-06-27
100776,Engineering,High,8,1,Bachelors,1,63603,4.54,143.9,103383.92,8083.42,,2017-04-19
100777,Sales ,,7,1,Bachelors,0,72076,3.77,91.7,73966.15,,$31.93,2020-03-04
100778,Engineering,Low,6,2,Bachelors,2,11777,3.69,140.8,80437.19,1165.16,51.29,2021-01-27
100779,Engineering,Medium,0,0,Bachelors,2,83605,3.38,93.0,61026.82,3384.21,USD 39.01,2012-09-24
100780,Finance,Medium,3,3,Masters,3,66240,4.53,136.8,78671.66,3643.66,USD 43.14,2017-01-13
100781,Finance,High,13,7,Bachelors,3,69888,3.32,84.5,83018.57,5845.89,$38.20,2017-01-12
100782,sales,,9,9,Bachelors,2,23760,2.99,124.8,77595.44,,$31.77,2012-03-04
100783,Engineering,Low,6,6,Masters,3,57837,4.78,92.5,59088.52,222.01,usd 58.57,2018-10-02
100784,Sales,Medium,7,4,Masters,4,66674,3.37,107.5,71617.05,2283.91,55.45,2018-01-24
100785,Engineering,High,9,1,Bachelors,2,39476,4.3,101.1,75101.24,3896.33,usd 45.04,2014-01-06
100786,Engineering,Medium,5,0,Masters,5,55075,5.8,155.9,96988.01,4606.7,,2015-05-31
100787,FINANCE,High,4,4,Masters,1,43445,4.57,81.7,67829.79,4968.61,USD 50.18,2017-09-18
100788,Engineering,High,7,7,Masters,0,19352,4.47,147.9,101583.3,8392.87,$40.47,2014-03-09
100789, eng ,Medium,3,2,Masters,0,56695,4.7,115.5,71060.27,4107.41,,2020-03-20
100790,Engineering,Medium,9,1,Masters,2,74796,4.28,147.5,101994.08,7667.65,USD 43.43,2023-03-10
100791,engineering,High,7,4,Bachelors,1,67671,4.32,85.5,66899.56,5100.31,,2020-06-08
100792,Finance ,High,14,1,Masters,5,28057,3.92,104.2,86796.34,6582.87,USD 49.47,2024-03-29
100793,Engineering,Medium,13,0,Bachelors,2,76920,5.09,102.0,73970.62,3294.74,,2021-07-23
100794,Finance,High,6,6,Masters,3,46624,4.57,82.2,,5989.79,$56.15,2015-07-24
100795,Engineering,Medium,0,0,Bachelors,1,52560,5.19,129.1,81500.8,4311.76,usd 41.84,2020-08-31
100796,Engineering,High,10,4,Bachelors,3,53836,2.98,118.6,92576.27,8290.03,41.43,2015-01-12
100797,ENG,High,0,0,Masters,2,68562,3.91,96.6,84485.03,7706.33,USD 36.13,2022-12-15
100798,Engineering,High,7,5,Masters,1,80332,4.4,162.4,102443.2,7823.98,$64.75,2018-02-25
100799,Engineering,High,2,2,Bachelors,3,57083,4.53,108.2,70187.78,4808.74,79.40,2013-08-16
100800,Engineering,High,2,2,PhD,2,12536,2.96,102.7,78803.05,7446.64,usd 85.08,2016-03-09
100801,Finance,Medium,5,5,Masters,1,25533,3.72,66.3,47116.39,2251.45,73.50,2014-06-22
100802,Finance,Medium,9,1,Masters,5,34050,4.53,144.5,83568.57,4451.64,USD 28.50,2021-12-11
100803,Finance,,5,5,Masters,5,48699,4.45,97.0,64637.96,,USD 34.86,2014-05-15
100804,engineering,Medium,2,2,Masters,3,20196,5.0,96.2,72146.66,1831.18,USD 64.96,2025-02-12
100805,Engineering,,6,6,Bachelors,0,46622,4.6,90.9,70283.59,,$46.98,2020-03-26
100806,Engineering,,11,8,Bachelors,2,18578,5.45,120.3,80813.44,,,2024-07-07
100807,Engineering ,Medium,11,2,Masters,0,44891,2.74,102.5,81044.22,3093.14,,2012-10-19
100808,Finance,Low,1,1,Bachelors,4,14432,4.79,122.1,51810.53,121.56,,2019-03-01
